Taxa,DM_mg,WM_mg,WM_conversion_source,WM_g,Grouping,Genus,Species,Category,Broad_category,E51,E138,E123,E25,E179,E85,E59,E190,E230,E240
Calanoid nauplii,0.0035,0.028,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000028,Other copepods (mainly calanoidea),,,Copepod,Copepod,282573.68,57206.24,20587.96,55477.48,84237.76,107811.76,251141.68,289174.4,37089.76,59720.8
Calanoides acutus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,19.645,0,0,0,0,0,0,0,0,0
Calanoides acutus copepodite II,0.02,0.16,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00016,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,39.29,0,0,0,0,0,0,0,0,0
Calanoides acutus copepodite III,0.062666,0.501328,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000501328,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,78.58,0,0,0,0,0,19.645,0,0,0
Calanoides acutus copepodite IV,0.315829,2.526632,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002526632,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,510.77,157.16,19.645,78.58,196.45,19.645,353.61,0,98.225,196.45
Calanoides acutus copepodite V,0.437689,3.501512,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.003501512,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,589.35,0,117.87,157.16,1885.92,78.58,432.19,392.9,19.645,2475.27
Calanoides acutus female,0.515255,4.12204,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00412204,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,0,19.645,39.29,0,39.29,19.645,0,0,0
Calanus propinquus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,0,0,0,0,0,0,0,0,0
Calanus propinquus copepodite II,0.01818,0.14544,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00014544,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,196.45,0,0,157.16,0,39.29,19.645,0,0,0
Calanus propinquus copepodite III,0.03636,0.29088,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00029088,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,157.16,0,0,157.16,0,117.87,98.225,0,0,78.58
Calanus propinquus copepodite IV,0.123747,0.989976,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000989976,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,39.29,98.225,0,39.29,117.87,19.645,0,0,0
Calanus propinquus copepodite V,0.420195,3.36156,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00336156,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,353.61,58.935,78.58,353.61,39.29,0,235.74,255.385,333.965
Calanus propinquus female,0.671683,5.373464,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.005373464,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,0,0,0,0,0,0,0,0,19.645
Calanus propinquus male,0.619065,4.95252,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00495252,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,19.645,0,0,0,39.29,19.645,0,0,0,0
Calanus simillimus copepodite I,0.005,0.04,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00004,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,0,0,0,0,2828.88,0,0
Calanus simillimus copepodite II,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,432.19,19.645,0,157.16,0,0,864.38,0,314.32
Calanus simillimus copepodite III,0.02,0.16,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00016,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,589.35,0,0,157.16,0,0,864.38,0,157.16
Calanus simillimus copepodite IV,0.046,0.368,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000368,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,1768.05,39.29,0,4714.8,0,0,392.9,78.58,1178.7
Calanus simillimus copepodite V,0.274,2.192,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002192,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,12887.12,58.935,0,26245.72,0,0,5422.02,13830.08,16187.48
Calanus simillimus female,0.309,2.472,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002472,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,432.19,58.935,0,785.8,0,0,314.32,550.06,628.64
Calanus simillimus male,0.289,2.312,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002312,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,117.87,0,0,0,0,0,78.58,0,78.58
Canadacia,0.078062629,0.624501032,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000624501,Other copepods (mainly calanoidea),Canadacia,,Copepod,Copepod,0,0,0,0,0,0,0,19.645,0,78.58
Chaetognatha,0.0072,0.077419355,WM=DM/0.093 in 10.4319/lo.2013.58.5.1843 for chaetognatha,0.000077,,,,Chaetognath,Worm,1316.215,1060.83,451.835,1139.41,314.32,648.285,1178.7,2278.82,608.995,726.865
Clausocalanus  laticeps,0.0235,0.188,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000188,Clausocalanidae,Clausocalanus,Clausocalanus  laticeps,Copepod,Copepod,0,157.16,0,0,3182.49,0,0,2671.72,176.805,2534.205
Clausocalanus brevipes,0.0235,0.188,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000188,Clausocalanidae,Clausocalanus,Clausocalanus brevipes,Copepod,Copepod,0,0,0,0,0,0,0,0,0,0
Clausocalanus copepodites,0.013309412,0.106475296,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000106475,Clausocalanidae,Clausocalanus,Clausocalanus copepodites,Copepod,Copepod,0,0,0,0,61606.72,0,0,28917.44,4400.48,16973.28
Clausocalanus ingens ,0.02293792,0.18350336,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000183503,Clausocalanidae,Clausocalanus,Clausocalanus ingens ,Copepod,Copepod,0,0,0,0,0,0,0,0,0,0
Clione,0.43,2.6875,"WM = 6.25DM, Atkinson et al 2012, for general mesozooplankton",0.0026875,Pteropod,,,Pteropod,Pteropod,0,0,0,0,0,0,0,0,0,0
Ctenocalanus,0.011436,0.091488,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000091488,Clausocalanidae,Ctenocalanus,,Copepod,Copepod,22945.36,37718.4,20273.64,7229.36,86123.68,38975.68,9115.28,106868.8,30174.72,105611.52
Cyclopoid Nauplii,0.0001,0.0008,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0000008,Cyclopoida,,,Copepod,Copepod,1257.28,4400.48,0,0,3771.84,21373.76,628.64,0,1885.92,3143.2
Decapod larvae,2.359,14.74375,"WM = 6.25DM, Atkinson et al 2012, for general mesozooplankton",0.014744,,,,Decapod,Decapod,0,0,0,0,0,0,0,0,0,0
