Cruise,Event,Net,ID,Species Code,Species Name,SL,W
JR200,17,1,1,GYR,Gymnoscopelus braueri,117,
JR200,17,1,2,GYR,Gymnoscopelus braueri,116,
JR200,17,1,3,GYR,Gymnoscopelus braueri,112,
JR200,17,1,4,GYR,Gymnoscopelus braueri,119,
JR200,17,1,5,GYR,Gymnoscopelus braueri,114,
JR200,17,1,6,GYR,Gymnoscopelus braueri,116,
JR200,17,1,7,GYR,Gymnoscopelus braueri,114,
JR200,17,1,8,GYR,Gymnoscopelus braueri,110,
JR200,17,1,9,GYR,Gymnoscopelus braueri,118,
JR200,17,1,10,GYR,Gymnoscopelus braueri,118,
JR200,17,1,11,GYR,Gymnoscopelus braueri,128,
JR200,17,1,12,GYR,Gymnoscopelus braueri,104,
JR200,17,1,13,GYR,Gymnoscopelus braueri,104,
JR200,17,1,14,GYR,Gymnoscopelus braueri,129,
JR200,17,1,15,GYR,Gymnoscopelus braueri,109,
JR200,17,1,16,GYR,Gymnoscopelus braueri,111,
JR200,17,1,17,GYR,Gymnoscopelus braueri,75,
JR200,17,1,18,GYR,Gymnoscopelus braueri,89,
JR200,17,1,19,GYR,Gymnoscopelus braueri,109,
JR200,17,1,20,GYR,Gymnoscopelus braueri,105,
JR200,17,1,21,GYR,Gymnoscopelus braueri,102,
JR200,17,1,22,GYR,Gymnoscopelus braueri,107,
JR200,17,1,23,GYR,Gymnoscopelus braueri,94,
JR200,17,1,24,GYR,Gymnoscopelus braueri,94,
JR200,17,1,25,GYR,Gymnoscopelus braueri,116,
JR200,17,1,26,GYR,Gymnoscopelus braueri,104,
JR200,17,1,27,GYR,Gymnoscopelus braueri,95,
JR200,17,1,28,GYR,Gymnoscopelus braueri,119,
JR200,17,1,29,GYR,Gymnoscopelus braueri,104,
JR200,17,1,30,GYR,Gymnoscopelus braueri,115,
JR200,17,1,31,GYR,Gymnoscopelus braueri,71,
JR200,17,1,32,GYR,Gymnoscopelus braueri,106,
JR200,17,1,33,GYR,Gymnoscopelus braueri,112,
JR200,17,1,34,GYR,Gymnoscopelus braueri,102,
JR200,17,1,35,GYR,Gymnoscopelus braueri,98,
JR200,17,1,36,GYR,Gymnoscopelus braueri,111,
JR200,17,1,37,GYR,Gymnoscopelus braueri,125,
JR200,17,1,38,GYR,Gymnoscopelus braueri,119,
JR200,17,1,39,GYR,Gymnoscopelus braueri,109,
JR200,17,1,40,GYR,Gymnoscopelus braueri,113,
JR200,17,1,41,PRY,Protomyctophum choriodon,80,
JR200,17,1,42,BAA,Bathylagus antarcticus,80,
JR200,17,1,43,YTX,Cyclothone sp.,69,
JR200,17,1,44,PDG,Paradiplospinus gracilis,376,
JR200,17,1,45,PDG,Paradiplospinus gracilis,372,
JR200,17,1,46,ELN,Electrona antarctica,73,
JR200,17,1,47,ELN,Electrona antarctica,76,
JR200,17,1,48,ELN,Electrona antarctica,73,
JR200,17,1,49,ELN,Electrona antarctica,81,
JR200,17,1,50,ELN,Electrona antarctica,80,
JR200,17,1,51,ELN,Electrona antarctica,80,
JR200,17,1,52,ELN,Electrona antarctica,88,
JR200,17,1,53,ELN,Electrona antarctica,82,
JR200,17,1,54,ELN,Electrona antarctica,79,
JR200,17,1,55,ELN,Electrona antarctica,78,
JR200,17,1,56,ELN,Electrona antarctica,84,
JR200,17,1,57,ELN,Electrona antarctica,81,
JR200,17,1,58,ELN,Electrona antarctica,92,
JR200,17,1,59,ELN,Electrona antarctica,67,
JR200,17,1,60,ELN,Electrona antarctica,82,
JR200,17,1,61,ELN,Electrona antarctica,91,
JR200,17,1,62,ELN,Electrona antarctica,79,
JR200,17,1,63,ELN,Electrona antarctica,78,
JR200,17,1,64,ELN,Electrona antarctica,91,
JR200,17,1,65,ELN,Electrona antarctica,79,
JR200,17,1,66,ELN,Electrona antarctica,90,
JR200,17,1,67,ELN,Electrona antarctica,96,
JR200,17,1,68,ELN,Electrona antarctica,89,
JR200,17,1,69,ELN,Electrona antarctica,92,
JR200,17,1,70,ELN,Electrona antarctica,95,
JR200,17,1,71,ELN,Electrona antarctica,83,
JR200,17,1,72,ELN,Electrona antarctica,100,
JR200,17,1,73,ELN,Electrona antarctica,103,
JR200,17,1,74,ELN,Electrona antarctica,107,
JR200,17,1,75,ELN,Electrona antarctica,92,
JR200,17,2,1,NTO,Notolepis coatsi,205,
JR200,17,2,2,NTO,Notolepis coatsi,342,
JR200,17,2,3,PDG,Paradiplospinus gracilis,364,
JR200,17,2,4,PDG,Paradiplospinus gracilis,368,
JR200,17,2,5,ELN,Electrona antarctica,79,
JR200,17,2,6,ELN,Electrona antarctica,73,
JR200,17,2,7,ELN,Electrona antarctica,80,
JR200,17,2,8,ELN,Electrona antarctica,63,
JR200,17,2,9,ELN,Electrona antarctica,67,
JR200,17,2,10,ELN,Electrona antarctica,72,
JR200,17,2,11,ELN,Electrona antarctica,68,
JR200,17,2,12,ELN,Electrona antarctica,76,
JR200,17,2,13,ELN,Electrona antarctica,69,
JR200,17,2,14,ELN,Electrona antarctica,69,
JR200,17,2,15,ELN,Electrona antarctica,48,
JR200,17,2,16,ELN,Electrona antarctica,53,
JR200,17,2,17,ELN,Electrona antarctica,43,
JR200,17,2,18,ELN,Electrona antarctica,55,
JR200,17,2,19,ELN,Electrona antarctica,39,
JR200,17,2,20,ELN,Electrona antarctica,49,
JR200,17,2,21,ELN,Electrona antarctica,60,
JR200,17,2,22,ELN,Electrona antarctica,54,
JR200,17,2,23,ELN,Electrona antarctica,55,
JR200,17,2,24,ELN,Electrona antarctica,58,
JR200,17,2,25,ELN,Electrona antarctica,40,
JR200,17,2,26,ELN,Electrona antarctica,52,
JR200,17,2,27,ELN,Electrona antarctica,73,
JR200,17,2,28,ELN,Electrona antarctica,64,
JR200,17,2,29,ELN,Electrona antarctica,59,
JR200,17,2,30,ELN,Electrona antarctica,90,
JR200,17,2,31,ELN,Electrona antarctica,72,
JR200,17,2,32,ELN,Electrona antarctica,73,
JR200,17,2,33,ELN,Electrona antarctica,69,
JR200,17,2,34,ELN,Electrona antarctica,67,
JR200,17,2,35,ELN,Electrona antarctica,69,
JR200,17,2,36,ELN,Electrona antarctica,61,
JR200,17,2,37,ELN,Electrona antarctica,81,
JR200,17,2,38,ELN,Electrona antarctica,59,
