Cruise,Event,Net,Gear,Start,End,Station,Reference,Stratified,D/N,Start Lat,Start Long,End Lat,End Long,Duration,Distance (m),Speed Mean,Water Depth Mean,Net Depth Min,Net Depth Max,Comments
JR161,41,1,RMT25,2006-10-28,2006-10-28,WS,"Collins et al., 2012",Target,D,-57.67511,-50.39287,-57.6567,-50.934,00:26,,,,107,202,
JR161,41,2,RMT25,2006-10-28,2006-10-28,WS,"Collins et al., 2012",Target,D,-57.6493,-50.3941,-57.6254,-50.3971,00:29,,,,26,88,
JR161,42,1,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,N,-57.67214,-50.42444,-57.60207,-50.46776,00:47,8611,2.71,4089,1,1008,
JR161,42,2,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,N,-57.60167,-50.46807,-57.57198,-50.4876,00:45,3669,2.76,4092,386,680,Cod-end lost no catch
JR161,43,1,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,N,-57.51337,-50.50643,-57.48799,-50.50855,00:33,2921,2.43,3864,192,391,
JR161,43,2,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,N,-57.48667,-50.50873,-57.46152,-50.51333,00:32,2915,2.51,3754,19,178,
JR161,55,1,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,D,-57.75019,-50.46501,-57.7547,-50.49047,00:20,1722,2.62,4114,57,71,
JR161,55,2,RMT25,2006-10-29,2006-10-29,WS,"Collins et al., 2012",Stratified,D,-57.75524,-50.49333,-57.7598,-50.51796,00:20,1678,2.67,4100,18,78,
JR161,56,1,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,N,-57.77525,-50.57629,-57.79043,-50.62922,00:48,3891,2.75,4100,403,699,Repeat of 42/2
JR161,56,2,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,N,-57.79056,-50.63007,-57.79644,-50.66831,00:33,2567,2.79,4081,163,411,
JR161,58,1,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,D,-57.77634,-50.3472,-57.76283,-50.38178,00:32,2760,2.67,4149,200,399,
JR161,58,2,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,D,-57.76238,-50.38308,-57.75009,-50.41592,00:32,2601,2.78,4137,26,199,
JR161,59,1,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,D,-57.70778,-50.45635,-57.6868,-50.46611,00:39,2625,2.63,4150,704,997,
JR161,59,2,RMT25,2006-10-30,2006-10-30,WS,"Collins et al., 2012",Stratified,D,-57.68602,-50.46643,-57.66338,-50.47959,00:40,2828,2.75,4155,402,699,
JR161,71,1,RMT25,2006-10-31,2006-10-31,SS,"Collins et al., 2012",Stratified,D,-60.69847,-48.68988,-60.68188,-48.69846,00:20,1972,2.7,1626,34,65,
JR161,71,2,RMT25,2006-10-31,2006-10-31,SS,"Collins et al., 2012",Stratified,D,-60.6812,-48.69867,-60.65663,-48.70299,00:32,2868,2.68,1664,1,40,
JR161,73,1,RMT25,2006-11-01,2006-11-01,SS,"Collins et al., 2012",Stratified,N,-60.5001,-48.75527,-60.46887,-48.76666,00:40,3660,2.37,1548,700,980,
JR161,73,2,RMT25,2006-11-01,2006-11-01,SS,"Collins et al., 2012",Stratified,N,-60.4669,-48.7677,-60.43888,-48.78412,00:36,3374,2.44,1631,403,702,
JR161,84,1,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,N,-60.55439,-48.92697,-60.53847,-48.97237,00:35,3250,2.62,1508,200,403,
JR161,84,2,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,N,-60.53822,-48.97283,-60.52341,-49.02166,00:35,3337,2.72,1500,13,201,
JR161,85,1,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,N,-60.5141,-49.07208,-60.5075,-49.1053,00:20,2072,2.73,1542,23,39,
JR161,85,2,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,N,-60.50742,-49.10584,-60.50155,-49.13384,00:19,1795,2.56,1552,14,31,
JR161,91,1,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,D,-60.62746,-48.81854,-60.61109,-48.89833,00:50,4997,2.6,1541,701,995,
JR161,91,2,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,D,-60.61089,-48.89922,-60.59142,-48.98879,00:54,5633,2.77,1499,402,701,
JR161,92,1,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,D,-60.57396,-49.10694,-60.57195,-49.1609,00:33,3071,2.67,1556,203,405,
JR161,92,2,RMT25,2006-11-02,2006-11-02,SS,"Collins et al., 2012",Stratified,D,-60.57192,-49.1616,-60.56622,-49.22037,00:37,3463,2.7,1556,13,217,
JR161,95,1,RMT25,2006-11-04,2006-11-04,AFI,"Collins et al., 2012",Stratified,D,-60.70516,-43.94998,-60.69457,-43.9984,00:30,3046,2.56,254,98,203,
JR161,95,2,RMT25,2006-11-04,2006-11-04,AFI,"Collins et al., 2012",Stratified,D,-60.69435,-43.99911,-60.67983,-44.04906,00:30,3265,2.7,270,9,104,
JR161,96,1,RMT25,2006-11-04,2006-11-04,AFI,"Collins et al., 2012",Stratified,D,-60.71881,-43.94158,-60.69872,-43.96721,00:24,2691,2.66,239,97,195,
JR161,96,2,RMT25,2006-11-04,2006-11-04,AFI,"Collins et al., 2012",Stratified,D,-60.6983,-43.96781,-60.67868,-43.99871,00:25,2804,2.6,270,6,102,
JR161,98,1,RMT25,2006-11-05,2006-11-05,AFI,"Collins et al., 2012",Stratified,N,-60.73237,-43.99794,-60.71496,-44.02646,00:25,2516,2.69,225,99,183,
JR161,98,2,RMT25,2006-11-05,2006-11-05,AFI,"Collins et al., 2012",Stratified,N,-60.71467,-44.02708,-60.69903,-44.0599,00:25,2521,2.64,258,10,108,
JR161,106,1,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,N,-60.49227,-44.68703,-60.48177,-44.74763,00:34,3699,2.55,950,201,403,
JR161,106,2,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,N,-60.48162,-44.74851,-60.46682,-44.80736,00:35,3805,2.59,1024,10,206,
JR161,107,1,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,N,-60.47666,-44.74474,-60.46908,-44.77694,00:20,2059,2.42,1050,18,46,
JR161,107,2,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,N,-60.46897,-44.77733,-60.46397,-44.80226,00:14,1550,2.55,1110,3,32,
JR161,114,1,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.43353,-44.50918,-60.42614,-44.56376,00:35,3289,2.14,1158,695,922,
JR161,114,2,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.4261,-44.56411,-60.42007,-44.62856,00:43,3791,2.09,1231,398,697,
JR161,115,1,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.47911,-44.48624,-60.45812,-44.53741,00:37,3759,2.28,611,199,402,
JR161,115,2,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.45753,-44.53878,-60.43462,-44.57896,00:35,3439,2.31,774,9,198,
JR161,117,1,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.42583,-44.67226,-60.41182,-44.67249,00:16,1576,2.53,1223,47,97,
JR161,117,2,RMT25,2006-11-06,2006-11-06,SS,"Collins et al., 2012",Stratified,D,-60.40877,-44.67425,-60.4017,-44.68526,00:10,1022,2.57,1670,11,44,
JR161,118,1,RMT25,2006-11-07,2006-11-07,SS,"Collins et al., 2012",Stratified,N,-60.43152,-44.37109,-60.41861,-44.41381,00:31,3001,2.31,2021,700,852,
JR161,118,2,RMT25,2006-11-07,2006-11-07,SS,"Collins et al., 2012",Stratified,N,-60.41857,-44.41469,-60.41171,-44.54394,01:12,7414,2.47,1777,1,705,net 2 closed?
JR161,123,1,RMT25,2006-11-07,2006-11-07,SS,"Collins et al., 2012",Stratified,D,-59.67883,-43.93053,-59.67439,-43.94013,00:07,755,2.7,4188,28,48,Net 1 did not close
JR161,123,2,RMT25,2006-11-07,2006-11-07,SS,"Collins et al., 2012",Stratified,D,-59.67358,-43.9418,-59.67198,-43.94496,00:02,257,2.57,4190,21,34,Did not open
JR161,134,1,RMT25,2006-11-08,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.6299,-44.14155,-59.61031,-44.18815,00:39,3583,2.67,3563,700,989,
JR161,134,2,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.60944,-44.19001,-59.59087,-44.2349,00:36,3429,2.64,3498,400,697,
JR161,135,1,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.60788,-44.19187,-59.59613,-44.21156,00:20,1794,2.76,3511,34,50,
JR161,135,2,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.59569,-44.21229,-59.58361,-44.23272,00:20,1852,2.75,3491,16,37,
JR161,136,1,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.55093,-44.28753,-59.53039,-44.31959,00:31,3016,2.62,2906,200,400,
JR161,136,2,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,N,-59.53026,-44.3198,-59.51272,-44.3461,00:25,2540,2.64,2589,64,200,Closed early by mistake
JR161,142,1,RMT25,2006-11-09,2006-11-09,SS,"Collins et al., 2012",Stratified,D,-59.61179,-44.09184,-59.58138,-44.12794,00:38,4124,2.56,3692,698,994,
