"","Cruise","Event","Year","Fish_Species_Code","Prey","Prey_Count","Mean_Prey_Mass__g_","Fish_Mass_g_","Lat","Lon","SST","location_group","fish_mass_log10","log_10_fish_class_bin","Statistical.Fish.ID.mass","Statistical_Fish_ID_mass","n_prey_items","ID_Pred_new"
"1","JR161",214,2006,"ELC","Metridia spp",11,3.64e-05,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"2","JR161",136,2006,"GYN","Metridia spp",5,2e-04,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"3","JR161",214,2006,"ELC","Metridia spp",4,2.75e-05,5.07430922500654,-55.24562,-41.15184,1.6879360511899,6,0.705376929307077,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"4","JR161",214,2006,"ELC","Calanus simillimus",3,6.67e-05,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"5","JR161",201,2006,"ELC","Oncaea spp",160,7.5e-05,5.71191053653692,-55.2144,-41.56429,1.52443008497357,6,0.756781396633555,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"6","JR161",159,2006,"GYN","Metridia spp",6,5e-04,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"7","JR161",214,2006,"ELC","Oncaea spp",5,1e-04,6.64065467688996,-55.24562,-41.15184,1.6879360511899,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"9","JR161",214,2006,"ELC","Thysanoessa spp",2,9.5e-05,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"11","JR161",159,2006,"GYN","Metridia spp",6,0.000333,15.6730458722732,-57.27877,-42.7514,-0.866804996877909,5,1.19515340469939,1.175,"GYN_5_1.175g","GYN_5_1.175g",6,66
"12","JR161",214,2006,"ELC","Candacia spp",1,0.00011,5.07430922500654,-55.24562,-41.15184,1.6879360511899,6,0.705376929307077,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"14","JR161",136,2006,"GYN","Calanoides acutus",1,0.001,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"15","JR161",136,2006,"GYN","Calanoides acutus",2,0.001,38.0491500842935,-59.5633,-44.26847,-1.54875940158963,4,1.58034496024394,1.575,"GYN_4_1.575g","GYN_4_1.575g",8,65
"16","JR161",214,2006,"GYN","Metridia spp",17,0.000588,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"18","JR161",159,2006,"GYN","Chaetognatha indet",1,0.001,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"19","JR161",159,2006,"GYN","Candacia spp",1,0.001,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"20","JR161",214,2006,"GYN","Ostracoda indet",2,0.001,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"21","JR161",214,2006,"GYN","Metridia spp",3,0.001,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"22","JR161",214,2006,"ELC","Calanus simillimus",1,2e-04,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"24","JR161",214,2006,"GYN","Rhincalanus gigas",5,6e-04,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"26","JR161",214,2006,"ELC","Metridia spp",2,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"27","JR161",214,2006,"ELC","Themisto gaudichaudii",1,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"28","JR161",214,2006,"ELC","Candacia spp",1,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"29","JR161",214,2006,"ELC","Calanus simillimus",5,0.00019,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"32","JR161",214,2006,"ELC","Metridia spp",8,2e-04,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"33","JR161",283,2006,"KRA","Drepanopus spp",151,5.3e-05,1.61800363018171,-49.99484,-37.98122,3.3937009960413,8,0.208979491668167,0.225,"KRA_8_0.225g","KRA_8_0.225g",9,131
"34","JR161",142,2006,"GYR","Metridia spp",3,0.000333,9.97844933346828,-59.66625,-44.05962,-1.60779440626502,4,0.999063056493527,0.975,"GYR_4_0.975g","GYR_4_0.975g",6,91
"35","JR161",214,2006,"GYN","Pleuromamma robusta",20,0.00055,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"36","JR161",106,2006,"ELN","Themisto gaudichaudii",48,0.00025,7.06353763114307,-60.49864,-44.64882,-1.86986295059323,3,0.849022263217417,0.825,"ELN_3_0.825g","ELN_3_0.825g",6,32
"37","JR161",214,2006,"GYN","Pleuromamma robusta",4,0.00075,20.4191612344468,-55.24562,-41.15184,1.6879360511899,6,1.31003789843978,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"38","JR161",275,2006,"GYR","Ostracoda indet",2,5e-04,13.4575355302223,-50.10324,-38.12951,3.62510454207659,8,1.12896553510182,1.125,"GYR_8_1.125g","GYR_8_1.125g",7,107
"39","JR161",275,2006,"GYR","Ostracoda indet",2,5e-04,13.1116991168953,-50.10324,-38.12951,3.62510454207659,8,1.11765897462503,1.125,"GYR_8_1.125g","GYR_8_1.125g",7,107
"40","JR161",159,2006,"GYN","Metridia spp",29,0.000966,24.8689865219451,-57.27877,-42.7514,-0.866804996877909,5,1.39565808696293,1.375,"GYN_5_1.375g","GYN_5_1.375g",7,67
"41","JR161",275,2006,"GYF","Metridia spp",38,0.000289,7.2125869961992,-50.10324,-38.12951,3.62510454207659,8,0.858091064533479,0.875,"GYF_8_0.875g","GYF_8_0.875g",9,60
"42","JR161",159,2006,"GYN","Ostracoda indet",1,0.001,24.8689865219451,-57.27877,-42.7514,-0.866804996877909,5,1.39565808696293,1.375,"GYN_5_1.375g","GYN_5_1.375g",7,67
"46","JR161",159,2006,"GYN","Ostracoda indet",2,0.0015,35.7060752471845,-57.27877,-42.7514,-0.866804996877909,5,1.55274211588404,1.575,"GYN_5_1.575g","GYN_5_1.575g",7,68
"47","JR161",214,2006,"GYN","Metridia spp",7,0.000714,16.1091128451014,-55.24562,-41.15184,1.6879360511899,6,1.20707162377825,1.225,"GYN_6_1.225g","GYN_6_1.225g",9,69
"48","JR161",214,2006,"GYN","Chaetognatha indet",1,0.001,22.0169293942025,-55.24562,-41.15184,1.6879360511899,6,1.34275674968834,1.325,"GYN_6_1.325g","GYN_6_1.325g",17,70
"49","JR161",56,2006,"ELC","Oncaea spp",8,0.000375,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
