Taxa,DM_mg,WM_mg,WM_conversion_source,WM_g,Grouping,Genus,Species,Category,Broad_category,E110,E87,E138,E28,E260,E162,E287,E181
Calanoid nauplii,0.0035,0.028,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000028,Other copepods (mainly calanoidea),,,Copepod,Copepod,23894.4,21379.2,64137.6,365961.6,48751.65,266611.2,289876.8,591072
Calanoides acutus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,0,0,0,0,5973.6,0,78.6
Calanoides acutus copepodite II,0.02,0.16,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00016,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,0,0,0,0,3458.4,78.6,0
Calanoides acutus copepodite III,0.062666,0.501328,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000501328,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,0,0,0,19.65,0,78.6,0
Calanoides acutus copepodite IV,0.315829,2.526632,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002526632,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,0,0,19.65,0,0,0,78.6
Calanoides acutus copepodite V,0.437689,3.501512,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.003501512,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,39.3,275.1,412.65,196.5,1572,0,1729.2
Calanoides acutus female,0.515255,4.12204,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00412204,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,510.9,157.2,1139.7,176.85,334.05,628.8,78.6,864.6
Calanus propinquus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Calanus propinquus copepodite II,0.01818,0.14544,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00014544,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,39.3,0,0,0,0,0,0,0
Calanus propinquus copepodite III,0.03636,0.29088,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00029088,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,117.9,0,0,0,0,0,0,0
Calanus propinquus copepodite IV,0.123747,0.989976,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000989976,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,39.3,0,0,0,0,0,0,0
Calanus propinquus copepodite V,0.420195,3.36156,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00336156,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Calanus propinquus female,0.671683,5.373464,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.005373464,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,0,0,0,0,0,0,0
Calanus propinquus male,0.619065,4.95252,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00495252,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Calanus simillimus copepodite I,0.005,0.04,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00004,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,19.65,0,0,3379.8,550.2
Calanus simillimus copepodite II,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,0,0,0,2908.2,943.2
Calanus simillimus copepodite III,0.02,0.16,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00016,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,117.9,0,78.6,0,0,0,4637.4,550.2
Calanus simillimus copepodite IV,0.046,0.368,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000368,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,78.6,39.3,0,0,2986.8,157.2
Calanus simillimus copepodite V,0.274,2.192,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002192,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,58.95,58.95,0,550.2,550.2
Calanus simillimus female,0.309,2.472,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002472,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,98.25,39.3,0,1100.4,4558.8
Calanus simillimus male,0.289,2.312,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002312,Calanidae,Calanus,Calanus simillimus,Copepod,Copepod,0,0,0,0,39.3,0,157.2,2593.8
Canadacia,0.078062629,0.624501032,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000624501,Other copepods (mainly calanoidea),Canadacia,,Copepod,Copepod,0,0,0,0,0,0,78.6,0
Chaetognatha,0.0072,0.077419355,WM=DM/0.093 in 10.4319/lo.2013.58.5.1843 for chaetognatha,7.74E-05,,,,Chaetognath,Worm,314.4,903.9,1179,1257.6,1925.7,1257.6,2043.6,1336.2
Clausocalanus  laticeps,0.0235,0.188,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000188,Clausocalanidae,Clausocalanus,Clausocalanus  laticeps,Copepod,Copepod,0,0,0,196.5,176.85,0,628.8,1886.4
Clausocalanus brevipes,0.0235,0.188,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000188,Clausocalanidae,Clausocalanus,Clausocalanus brevipes,Copepod,Copepod,0,0,0,0,0,0,1257.6,0
Clausocalanus copepodites,0.013309412,0.106475296,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000106475,Clausocalanidae,Clausocalanus,Clausocalanus copepodites,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Clausocalanus ingens ,0.02293792,0.18350336,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000183503,Clausocalanidae,Clausocalanus,Clausocalanus ingens ,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Clione,0.43,2.6875,"WM = 6.25DM, Atkinson et al 2012, for general mesozooplankton",0.0026875,Pteropod,,,Pteropod,Pteropod,NA,NA,NA,NA,NA,NA,NA,NA
Ctenocalanus,0.011436,0.091488,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000091488,Clausocalanidae,Ctenocalanus,,Copepod,Copepod,471.6,786,8488.8,92433.6,33247.8,83001.6,100293.6,217564.8
Cyclopoid Nauplii,0.0001,0.0008,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0000008,Cyclopoida,,,Copepod,Copepod,296164.8,174806.4,442675.2,1089081.6,720604.8,394886.4,1400966.4,1655001.6
Decapod larvae,2.359,14.74375,"WM = 6.25DM, Atkinson et al 2012, for general mesozooplankton",0.01474375,,,,Decapod,Decapod,0,78.6,39.3,0,0,0,0,0
Drepanopus copepodite 1-3,0.007722603,0.061780824,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",6.18E-05,Clausocalanidae,Drepanopus,,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Drepanopus copepodite 4-6,0.014246503,0.113972024,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000113972,Clausocalanidae,Drepanopus,,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Euaetideus australis,0.0237,0.1896,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0001896,Aetideidae,Euaetideus,Euaetideus australis,Copepod,Copepod,0,0,0,0,98.25,314.4,0,0
Eucalanus longiceps,0.619065,4.95252,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00495252,Other copepods (mainly calanoidea),Eucalanus,Eucalanus longiceps,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Euchaeta antarctica copepodite I,0.011436,0.091488,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000091488,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,314.4,550.2,510.9,334.05,825.3,0,235.8,0
Euchaeta antarctica copepodite II,0.082268,0.658144,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000658144,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,117.9,314.4,235.8,471.6,510.9,628.8,78.6,78.6
Euchaeta antarctica copepodite III,0.25875,2.07,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00207,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,0,39.3,0,58.95,78.6,0,78.6,157.2
Euchaeta antarctica copepodite IV,0.420195,3.36156,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00336156,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,0,0,0,0,0,0,157.2,78.6
Euchaeta antarctica copepodite V,0.950025,7.6002,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0076002,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,0,0,0,0,0,0,0,78.6
Euchaeta antarctica female,3.504203,28.033624,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.028033624,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Euchaeta antarctica male,1.428607256,11.42885805,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.011428858,Euchaetidae,Euchaeta,Euchaeta antarctica,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Euchaeta biloba,0.4,3.2,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0032,Euchaetidae,Euchaeta,Euchaeta biloba,Copepod,Copepod,0,0,0,19.65,58.95,0,0,0
Euchaeta spp.,0.950088656,7.600709248,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.007600709,Euchaetidae,Euchaeta,,Copepod,Copepod,NA,NA,NA,NA,NA,NA,NA,NA
Euchirella rostrata/rostramagna,0.1096,0.8768,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0008768,Aetideidae,Euchirella,,Copepod,Copepod,0,0,39.3,39.3,0,0,78.6,0
Euphausia frigida adult,4,20,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.02,Euphausiidae,Euphausia,Euphausia frigida,Euphausiid,Euphausiid,0,0,0,0,0,0,0,78.6
Euphausia frigida calytopes,0.0157,0.0785,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.0000785,Euphausiidae,Euphausia,Euphausia frigida,Euphausiid,Euphausiid,0,0,78.6,157.2,19.65,314.4,157.2,0
Euphausia frigida furcilia,0.476762751,2.383813755,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.002383814,Euphausiidae,Euphausia,Euphausia frigida,Euphausiid,Euphausiid,0,0,0,19.65,0,0,0,0
Euphausia frigida/vallentini calytopes,0.0157,0.0785,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.0000785,Euphausiidae,Euphausia,,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia frigida/vallentini furcilia,0.476762751,2.383813755,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.002383814,Euphausiidae,Euphausia,,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia superba adult,44.11080033,220.5540017,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.220554002,Euphausiidae,Euphausia,Euphausia superba,Euphausiid,Euphausiid,393,39.3,0,0,0,0,0,0
Euphausia superba calyptopes,0.0314,0.157,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.000157,Euphausiidae,Euphausia,Euphausia superba,Euphausiid,Euphausiid,0,0,0,0,0,0,0,0
Euphausia superba furcilia,0.8,4,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.004,Euphausiidae,Euphausia,Euphausia superba,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia superba nauplii,0.001,0.005,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.000005,Euphausiidae,Euphausia,Euphausia superba,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia triacantha adult,21.37190412,106.8595206,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.106859521,Euphausiidae,Euphausia,Euphausia triacantha,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia triacantha calyptopes,0.0157,0.0785,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.0000785,Euphausiidae,Euphausia,Euphausia triacantha,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia triacantha furcilia,0.727933463,3.639667315,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.003639667,Euphausiidae,Euphausia,Euphausia triacantha,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausia vallentini adult,4,20,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.02,Euphausiidae,Euphausia,Euphausia vallentini,Euphausiid,Euphausiid,NA,NA,NA,NA,NA,NA,NA,NA
Euphausiid nauplii,0.0046,0.023,"WM = 5DM, Atkinson et al 2012, for euphausiid-dominated mesozooplankton",0.000023,Euphausiidae,Euphausia,,Euphausiid,Euphausiid,471.6,471.6,157.2,0,157.2,0,471.6,0
Gaidius,0.0174,0.1392,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.0001392,Aetideidae,Gaidius,,Copepod,Copepod,78.6,235.8,78.6,78.6,78.6,0,0,0
