Taxa,DM_mg,WM_mg,WM_conversion_source,WM_g,Grouping,Genus,Species,Category,Broad_category,E53,E230,E149,E283,E321,E371,E219,E188,E91,E203
Calanoid nauplii,0.0035,0.028,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000028,Other copepods (mainly calanoidea),,,Copepod,Copepod,25304.048,284159.744,28604.576,236695.008,347655.616,9665.832,84713.552,109703.264,68996.752,113789.632
Calanoides acutus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,667.964,0,2632.564,4557.872,0,19.646,0,0,0
Calanoides acutus copepodite II,0.02,0.16,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00016,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,1296.636,0,3104.068,8722.824,0,0,0,0,0
Calanoides acutus copepodite III,0.062666,0.501328,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000501,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,707.256,0,2161.06,13202.112,78.584,19.646,0,0,0
Calanoides acutus copepodite IV,0.315829,2.526632,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.002527,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,0,785.84,0,785.84,3457.696,353.628,19.646,0,0,0
Calanoides acutus copepodite V,0.437689,3.501512,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.003502,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,196.46,1296.636,314.336,235.752,1335.928,884.07,98.23,78.584,137.522,157.168
Calanoides acutus female,0.515255,4.12204,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.004122,Calanidae,Calanoides,Calanoides acutus,Copepod,Copepod,687.61,39.292,550.088,0,0,0,19.646,137.522,216.106,216.106
Calanus propinquus copepodite I,0.01,0.08,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.00008,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,39.292,0,39.292,0,0,157.168,19.646,19.646,98.23
Calanus propinquus copepodite II,0.01818,0.14544,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000145,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,19.646,39.292,78.584,392.92,0,98.23,78.584,0,19.646
Calanus propinquus copepodite III,0.03636,0.29088,"WM = 8DM, Atkinson et al 2012, for copepod-dominated mesozooplankton",0.000291,Calanidae,Calanus,Calanus propinquus,Copepod,Copepod,0,157.168,0,117.876,785.84,19.646,39.292,0,0,39.292
